Sale_ID,Product_ID,Sale_Date,Quantity_Sold,Revenue,Region
SA006,INV006,27-01-2024,300,"$1,700",Mumbai
SA007,INV007,29-01-2024,150,"$1,200",Kolkata
SA008,INV008,01-02-2024,250,"$2,100",Noida
SA009,INV009,03-02-2024,200,"$1,600",Lucknow
SA010,INV010,05-02-2024,350,"$2,500",Ahmedabad
SA011,INV011,07-02-2024,180,"$1,400",Indore
SA012,INV012,09-02-2024,220,"$1,800",Coimbatore
SA013,INV013,11-02-2024,270,"$2,300",Surat
SA014,INV014,13-02-2024,310,"$2,800",Jaipur
SA015,INV015,15-02-2024,150,"$1,200",Bhopal
SA016,INV016,17-02-2024,230,"$2,100",Vadodara
SA017,INV017,19-02-2024,170,"$1,500",Ludhiana
SA018,INV018,21-02-2024,280,"$2,400",Patna
SA019,INV019,23-02-2024,210,"$1,900",Agra
SA020,INV020,25-02-2024,330,"$2,700",Mysore
SA021,INV021,27-02-2024,190,"$1,600",Amritsar
SA022,INV022,01-03-2024,290,"$2,500",Ranchi
SA023,INV023,03-03-2024,160,"$1,300",Nashik
SA024,INV024,05-03-2024,240,"$2,000",Varanasi
SA025,INV025,07-03-2024,300,"$2,200",Bhubaneswar
SA026,INV026,09-03-2024,250,"$1,800",Kochi
SA027,INV027,11-03-2024,270,"$2,400",Jodhpur
SA028,INV028,13-03-2024,340,"$3,000",Vijayawada
SA029,INV029,15-03-2024,210,"$1,700",Gwalior
SA030,INV030,17-03-2024,290,"$2,600",Raipur
SA031,INV031,19-03-2024,190,"$1,500",Guwahati
SA032,INV032,21-03-2024,300,"$2,500",Kota
SA033,INV033,23-03-2024,230,"$1,800",Howrah
SA034,INV034,25-03-2024,280,"$2,200",Meerut
SA035,INV035,27-03-2024,320,"$2,700",Jabalpur
SA036,INV036,29-03-2024,160,"$1,200",Hubli
SA037,INV037,31-03-2024,270,"$2,300",Tiruchirappalli
SA038,INV038,02-04-2024,220,"$1,900",Udaipur
SA039,INV039,04-04-2024,310,"$2,800",Aurangabad
SA040,INV040,06-04-2024,170,"$1,500",Salem
SA041,INV041,08-04-2024,290,"$2,600",Gorakhpur
SA042,INV042,10-04-2024,200,"$1,700",Mangalore
SA043,INV043,12-04-2024,320,"$2,700",Siliguri
SA044,INV044,14-04-2024,240,"$2,100",Warangal
SA045,INV045,16-04-2024,300,"$2,500",Guntur
SA046,INV046,18-04-2024,270,"$2,300",Bareilly
SA047,INV047,20-04-2024,180,"$1,400",Aligarh
SA048,INV048,22-04-2024,210,"$1,800",Moradabad
SA049,INV049,24-04-2024,290,"$2,500",Thiruvananthapuram
SA050,INV050,26-04-2024,250,"$2,200",Jalandhar
